Gross Output/Production brute ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity (English) / Activité (anglais),Activity (French) / Activité (français),Economic Sector (English) / Secteur économique (anglais),Economic Sector (French) / Secteur économique (français),Units (English) / Unité (anglais),Units (French) / Unité (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Agriculture (hunting & fishing),Agriculture (Chasse et pêche),n/a,s/o,Billion 1997 CN$,Milliards 1997 CN$,49.2,48.1,50.3,40.8,45.7,50.8,46.7,48.6,54.2,50.6,53.5,54.4,56.3,56.5,59.9,63.1,59,61.4,62.3,62.8,63.8,64.9,66.2,67.6,69.2,70.8
Forestry,Foresterie,n/a,s/o,Billion 1997 CN$,Milliards 1997 CN$,17.1,16.9,15.7,13.3,11.6,12.1,12.3,12.8,13.7,13.8,14.4,15.1,14.3,13.9,12.7,12.4,11.7,12.5,13.4,13.4,13.5,13.6,13.8,14,14.2,14.3
Construction,Construction,n/a,s/o,Billion 1997 CN$,Milliards 1997 CN$,148.7,158.1,161.4,164.7,150.5,180,189.5,206.6,212.5,221.8,207.2,195.2,204.9,207.1,207,200.5,213.8,223.8,227,227.9,227.6,225.9,226.2,228.1,229.9,231.2
Utilities,Services Publics,n/a,s/o,Billion 1997 CN$,Milliards 1997 CN$,37.2,36.8,38.1,38,37.1,37.4,38.3,39.1,41,42.7,42.8,43,44.5,45.7,45.1,44,44.2,44.9,45.2,45.4,46.1,46.8,47.4,47.7,48.3,48.9
Mining,Exploitation minière,Oil and Gas,Pétrole et gaz,Billion 1997 CN$,Milliards 1997 CN$,36.3,38.6,39.9,38.3,38.5,38.3,39.6,45.7,48.4,49.9,49.9,50.8,54.5,52.8,58.9,57.7,62.4,64,65.4,66.3,67.3,68.7,69.8,70.2,71,71.5
Mining,Exploitation minière,Coal,Charbon,Billion 1997 CN$,Milliards 1997 CN$,2.1,1.8,2.2,2.3,2.1,2.5,2.3,2.2,2.8,3,3.1,3.2,2.9,2.8,2.7,2.1,1.9,1.6,1.4,1.2,1.2,1.2,1.1,1.1,1.1,1
Mining,Exploitation minière,Iron Ore mining,Minerai de fer,Billion 1997 CN$,Milliards 1997 CN$,2,1.8,1.8,1.7,1.6,1.6,1.6,1.6,1.8,2.2,2.7,2.9,3.6,3.4,3.8,4.1,4.4,4.6,4.9,5.2,5.5,5.7,5.8,5.9,6,6.1
Mining,Exploitation minière,Other Metal mining,Autres métaux,Billion 1997 CN$,Milliards 1997 CN$,8.4,7.5,6.8,7,5.4,4.7,4.6,5.7,5.3,6.3,5.5,4.8,4.9,5.2,4.6,4.2,4.1,4.1,4.3,4.4,4.6,4.7,4.7,4.8,4.8,4.9
Mining,Exploitation minière,Non-metal mining,,Billion 1997 CN$,Milliards 1997 CN$,15.4,16,15.8,15.8,12,15.1,16.9,19,20.1,21.5,18.8,16.3,17.8,17.9,18.1,16.5,18.1,19,19.3,19.4,19.4,19.5,19.6,19.8,19.9,20.1
Manufacturing,Manufacturier,Pulp & paper,Pâtes et papiers,Billion 1997 CN$,Milliards 1997 CN$,24.9,25,24.9,23.4,20.8,21.1,21.1,20.3,20.4,21.9,23.2,23.5,22,22.3,20.4,18.2,18.7,20.2,21.2,22,22.9,22.9,22.9,22.9,22.9,22.9
