Conventional Oil by Fuel/Pétrole brut classique par carburant 
"Category (English) / Catégorie (anglais)","Category (French) / Catégorie (français)","Fuel (English) / Carburant (anglais)","Fuel (French) / Carburant (français)","Units (English) / Unités (anglais)","Units (French) / Unités (français)","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Frontier Oil Production","Production de pétrole des régions pionnières","Electric (Gross Energy Demands)","Électricité (Demandes brutes d'énergie)","Petajoules","Pétajoules","1.4","1.4","1.4","1.4","1","1.3","1.3","1.4","1","1","1","1","1.1","0.8","0.9","0.7","0.7","0.8","0.8","0.8","0.7","0.8","0.8","0.7","0.7","0.6"
"Frontier Oil Production","Production de pétrole des régions pionnières","Electric (Net Energy Demands)","Électricité (Demandes nettes d'énergie)","Petajoules","Pétajoules","0.2","0.1","0.3","0.1","0.1","0.3","0.3","-0.2","-0.3","-0.2","-0.4","-0.3","-0.4","-0.1","-0.2","-0.3","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2"
"Frontier Oil Production","Production de pétrole des régions pionnières","Liquefied Petroleum Gas and Natural Gas Liquids","Gaz de pétrole liquéfié et gaz naturel liquéfié","Petajoules","Pétajoules","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Frontier Oil Production","Production de pétrole des régions pionnières","Natural Gas","Gaz Naturel","Petajoules","Pétajoules","15","13.4","19.3","19.4","17.9","19.4","19.5","14.7","17.3","18.6","16","19.4","19.5","13.6","14","12.7","11.9","13","13.8","13","12.4","13.6","13.5","12.1","11.9","10.9"
"Frontier Oil Production","Production de pétrole des régions pionnières","Refined Petroleum Products","Produits Pétroliers Raffinés","Petajoules","Pétajoules","0.3","0.4","0.3","0.2","0.3","0.3","0.1","1.1","1.2","1.1","1.8","1","1.2","0.8","0.8","0.7","0.7","0.7","0.8","0.7","0.7","0.8","0.8","0.7","0.7","0.6"
"Frontier Oil Production","Production de pétrole des régions pionnières","Renewables","Énergie renouvelable","Petajoules","Pétajoules","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Heavy Oil Production","Production de pétrole lourd","Electric (Gross Energy Demands)","Électricité (Demandes brutes d'énergie)","Petajoules","Pétajoules","5.8","6.5","6.7","8.6","8.3","8.3","8.1","8.5","8.7","8","8","8","8.3","7.5","7.3","6.3","7","8.1","9.3","9.9","9.9","10","10","9.9","9.9","10"
"Heavy Oil Production","Production de pétrole lourd","Electric (Net Energy Demands)","Électricité (Demandes nettes d'énergie)","Petajoules","Pétajoules","5.8","6.5","6.7","8.6","8.3","8.3","8.1","8.5","8.7","8","8","8","8.3","7.2","6.9","5.4","6","7.1","8.2","8.8","8.9","9.1","9.2","9.3","9.4","9.4"
"Heavy Oil Production","Production de pétrole lourd","Liquefied Petroleum Gas and Natural Gas Liquids","Gaz de pétrole liquéfié et gaz naturel liquéfié","Petajoules","Pétajoules","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Heavy Oil Production","Production de pétrole lourd","Natural Gas","Gaz Naturel","Petajoules","Pétajoules","57.1","55.2","62.5","67.6","80.1","79","77.1","76.7","82.1","84","87","73.7","58.4","61","54.2","46.8","45.4","46.9","49.2","50.1","50","49.6","49.3","49.1","48.9","48.8"
"Heavy Oil Production","Production de pétrole lourd","Refined Petroleum Products","Produits Pétroliers Raffinés","Petajoules","Pétajoules","1.5","1.6","2.3","2.1","2.7","3.9","5.4","6.3","6.8","4.8","3.5","1.4","1.8","2.5","1.3","1.2","1.2","1.2","1.3","1.3","1.3","1.2","1.2","1.1","1.1","1.1"
"Heavy Oil Production","Production de pétrole lourd","Renewables","Énergie renouvelable","Petajoules","Pétajoules","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Light Oil Production","Production de pétrole léger","Electric (Gross Energy Demands)","Électricité (Demandes brutes d'énergie)","Petajoules","Pétajoules","52.5","46.8","47.5","39.9","41.2","37.7","36.5","40.5","34.8","32.5","30.6","29.8","28.7","24.7","23.9","21.6","22.1","23","25.9","26.9","27.5","28.3","29.3","30.4","31.3","31.3"
"Light Oil Production","Production de pétrole léger","Electric (Net Energy Demands)","Électricité (Demandes nettes d'énergie)","Petajoules","Pétajoules","52.5","46.8","47.5","39.9","41.2","37.7","36.5","40.5","34.8","32.5","30.6","29.8","28.7","24.7","23.9","21.6","18.9","19.8","22.7","23.7","24.3","25.1","26.1","27.2","28.1","28.1"
"Light Oil Production","Production de pétrole léger","Liquefied Petroleum Gas and Natural Gas Liquids","Gaz de pétrole liquéfié et gaz naturel liquéfié","Petajoules","Pétajoules","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
