Liquified natural gas production by Fuel/Production du gaz naturel liquéfié par carburant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category (English) / Catégorie (anglais),Category (French) / Catégorie (français),Fuel (English) / Carburant (anglais),Fuel (French) / Carburant (français),Units (English) / Unités (anglais),Units (French) / Unités (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
LNG Production,Production de gaz naturel liquéfié,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.2,19,41,41.2,41.2,41,51.6
LNG Production,Production de gaz naturel liquéfié,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.2,19,41,41.2,41.2,41,51.6
LNG Production,Production de gaz naturel liquéfié,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.8,20.1,41.1,41.1,41.1,40.6,50.7
LNG Production,Production de gaz naturel liquéfié,Renewables,Énergie renouvelable,Petajoules,Pétajoules,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,1.1,2.2,2.2,2.2,2.1,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric and Steam values in some tables are reported as gross and net energy demands for electricity, and gross and net sales for steam. Please be advised that summing all the columns to produce total values will include double-counting of some energy demands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""x"" indicates content suppressed in order to meet the confidentiality requirements of the Statistics Act.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0"" Indicates data truncated due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-: no data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les valeurs d'électricité et de vapeur dans certains tableaux sont rapportées à la fois en demandes électriques nettes et en demandes électriques brutes. Veuillez noter que la somme de toutes les colonnes pour produire des valeurs totales inclut le double comptage de certaines demandes d'énergie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""x"" indique que le contenu a été supprimé afin de respecter les exigences de confidentialité de la Loi sur la statistique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0"" Indique que les données ont été tronquées, parce qu’elles ont été arrondies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-: aucune données.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
