Natural Gas Production and Processing by Fuel/Production et traitement du gaz naturel par carburant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category (English) / Catégorie (anglais),Category (French) / Catégorie (français),Fuel (English) / Carburant (anglais),Fuel (French) / Carburant (français),Units (English) / Unités (anglais),Units (French) / Unités (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Natural Gas Processing,Traitement du gaz naturel,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,5.3,6.6,6.3,9.3,12.8,10.2,10.6,8.8,8.2,9.6,13.1,8.4,7.1,6.2,5.4,5.3,5.4,5.3,5.2,5.2,5.3,5.4,5.4,5.3,5.3,5.3
Natural Gas Processing,Traitement du gaz naturel,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,-1.6,-0.2,0.1,3.1,6.3,3.7,5,2.9,2.4,3.8,6.7,4.5,5.5,4.1,1.9,1.7,0.9,0.2,0,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.6
Natural Gas Processing,Traitement du gaz naturel,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Natural Gas Processing,Traitement du gaz naturel,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,311.2,314.7,339.2,315.6,313.9,281.4,321.3,306.3,309.7,307.6,302.8,286.1,254,282,289.6,281.7,284.9,278.7,270.9,266,263.8,264,260.4,253.5,248,248.1
Natural Gas Processing,Traitement du gaz naturel,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,0.6,0.7,0.4,0.4,0.5,0.5,-,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Natural Gas Processing,Traitement du gaz naturel,Renewables,Énergie renouvelable,Petajoules,Pétajoules,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.6,0.8,1,1.2,1.3,1.3,1.3,1.3,1.4
Natural Gas Production,Production du gaz naturel,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,6.4,6.3,6.8,4.6,4.5,3.2,3,2.9,2.2,1.9,1.9,2.6,2.2,2.3,1.4,1.3,3.1,4.8,6.1,7.8,10.3,13.3,15.1,14.9,14.7,14.4
Natural Gas Production,Production du gaz naturel,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,6.4,6.3,6.8,4.6,4.5,3.2,3,2.9,2.2,1.9,1.9,2.6,2.2,2.3,1.4,1.3,3.1,4.8,6.1,7.8,10.3,13.3,15.1,14.9,14.7,14.4
Natural Gas Production,Production du gaz naturel,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Natural Gas Production,Production du gaz naturel,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,255.9,271.3,313.4,317.7,305.6,281.3,324.9,305.7,304.3,288.4,265,244.5,226.4,247.9,236.6,229.4,218.3,207.8,197.3,187.7,179.3,172,164.7,160.4,157.3,157
Natural Gas Production,Production du gaz naturel,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,13.9,13.5,12.7,12,9.7,9.9,7.4,3.4,5.4,6,5.6,3.5,4.4,3.8,2.8,2.9,2.9,3,3,3,3.2,3.4,3.5,3.5,3.5,3.6
Natural Gas Production,Production du gaz naturel,Renewables,Énergie renouvelable,Petajoules,Pétajoules,0,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7


Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric and Steam values in some tables are reported as gross and net energy demands for electricity, and gross and net sales for steam. Please be advised that summing all the columns to produce total values will include double-counting of some energy demands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""x"" indicates content suppressed in order to meet the confidentiality requirements of the Statistics Act.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0"" Indicates data truncated due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-: no data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les valeurs d'électricité et de vapeur dans certains tableaux sont rapportées à la fois en demandes électriques nettes et en demandes électriques brutes. Veuillez noter que la somme de toutes les colonnes pour produire des valeurs totales inclut le double comptage de certaines demandes d'énergie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""x"" indique que le contenu a été supprimé afin de respecter les exigences de confidentialité de la Loi sur la statistique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0"" Indique que les données ont été tronquées, parce qu’elles ont été arrondies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-: aucune données.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
