Oil Sands by Fuel/Sables bitumineux par carburant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category (English) / Catégorie (anglais),Category (French) / Catégorie (français),Fuel (English) / Carburant (anglais),Fuel (French) / Carburant (français),Units (English) / Unités (anglais),Units (French) / Unités (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CSS Oil Sands,Stimulation cyclique par la vapeur,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,-0.7,-1.7,-0.8,0.7,-1.5,-1.7,0.1,-0.6,-0.5,-0.9,-6.4,-8.4,-7.8,-7.5,-8.4,-8.5,-8.1,-8.3,-8.7,-8.5,-8.4,-8.3,-8.1,-7.9,-7.6,-7.5
CSS Oil Sands,Stimulation cyclique par la vapeur,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,122.7,143.3,141.8,150.3,143.5,151.3,152.6,160.3,153.1,165.6,212.2,199.4,204.3,199.2,200.9,197.1,214.6,223,229.4,234.1,236.5,238.7,245.9,251.1,259.8,262.5
CSS Oil Sands,Stimulation cyclique par la vapeur,Renewables,Énergie renouvelable,Petajoules,Pétajoules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSS Oil Sands,Stimulation cyclique par la vapeur,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CSS Oil Sands,Stimulation cyclique par la vapeur,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,3.7,4.1,4.4,4.4,4.2,4.6,5.1,5,5,4.8,5.6,4.8,4.6,4.1,4.2,4.1,4.5,4.7,4.9,5,5.1,5.2,5.5,5.6,5.9,6
Oil Sands Mining,Extraction du bitume,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,-0.9,0.4,-2.9,-1.2,-0.3,2.6,6.6,7.7,8.3,8.9,10.7,13.1,15.4,14.8,16.9,15.6,18,18.9,19.4,19.7,-1.2,-0.7,-0.5,-0.4,-0.4,-0.4
Oil Sands Mining,Extraction du bitume,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Oil Sands Mining,Extraction du bitume,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,40.8,46.6,56.6,58.5,55.9,66.7,65.8,69.3,83.6,96.9,112.9,111,131.8,163,171,164.6,176,179,179.5,179.1,232.7,232.4,230.4,228.4,225.8,223.1
Oil Sands Mining,Extraction du bitume,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,33.4,36.4,35.8,42,50.2,49.2,54.7,55.6,57.4,58.6,55.2,59.4,65.5,70.9,73.3,70.1,75.2,76.4,76.7,76.7,75.7,75.9,75.2,74.6,73.7,72.8
Oil Sands Mining,Extraction du bitume,Renewables,Énergie renouvelable,Petajoules,Pétajoules,0,0,0,0,0,0,0.6,0.7,0.7,0.8,0.7,0.7,0.8,1,1.1,1,1.4,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6
Oil Sands Mining,Extraction du bitume,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,9.9,12.1,12.4,13.4,15.1,15.6,17.4,18.5,20.7,22.3,25.9,24.8,25.4,29,30.5,29.2,31.6,32.5,33,33.3,33.6,34.1,34.2,34.4,34.4,34.3
Oil Sands Upgraders,Valorisation du bitume,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,-5.1,-6.6,-0.6,0.7,2.7,4.1,4.5,6.4,2,0.7,0.4,1.1,-2.6,6,9.9,6.5,8.7,7.9,7.7,7.8,8.3,8.6,8.8,9,9.2,9.1
Oil Sands Upgraders,Valorisation du bitume,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Oil Sands Upgraders,Valorisation du bitume,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,116.6,161,171.2,175,179.3,184.8,177.3,211.3,204.9,221.6,212.5,189.3,195.8,224,232.9,225.4,250.1,250.8,250.3,251.1,256.1,259.1,260.2,262.4,263.4,261.7
Oil Sands Upgraders,Valorisation du bitume,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,177.6,201.3,212.3,174.3,214.8,226.8,228.5,226.2,226.4,221.6,232.1,220,228.8,235.5,245.5,233.8,256,254.3,252.3,250.9,252.4,252.3,251,250.2,248.6,245
Oil Sands Upgraders,Valorisation du bitume,Renewables,Énergie renouvelable,Petajoules,Pétajoules,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil Sands Upgraders,Valorisation du bitume,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,10.8,12.5,12.7,14.7,16.7,16,16.5,19,17.5,18,21.3,21.1,21.1,22.1,22.9,20.3,22.4,22.4,22.4,22.5,23,23.3,23.5,23.7,23.8,23.8
Primary Oil Sands,Sables bitumineux—production primaire,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,1.6,2.2,2.7,2.9,3.1,2.9,3.7,4.4,5,5.2,5.1,4.1,3.7,3.2,3,2.9,3.2,3.4,3.5,3.6,3.6,3.7,3.9,4,4.2,4.3
Primary Oil Sands,Sables bitumineux—production primaire,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,17.9,18.8,21.6,21.9,23.7,21.5,17.1,21.6,25.2,27.6,27.1,25.1,24.5,24.7,24.9,24.1,26.7,27.7,28.5,29.2,29.6,30,31.1,32,33.3,33.7
Primary Oil Sands,Sables bitumineux—production primaire,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,1.6,2.2,2.7,2.9,3.1,2.9,3.7,4.4,5,5.2,5.1,4.1,3.7,3.2,3,2.9,3.2,3.4,3.5,3.6,3.6,3.7,3.9,4,4.2,4.3
SAGD Oil Sands,Sables bitumineux DGMV,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,-4.6,-4,-5.4,-2.9,-3,-5.7,-4.3,-8.7,-10,-8.3,-8.9,-2.4,-7.1,-6.8,-2.6,-3.4,-1,0,1.1,2,2.7,3.5,5,6.1,7.9,8.7
SAGD Oil Sands,Sables bitumineux DGMV,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,43.1,53.4,75.4,109.5,146,195.7,231.2,291.4,342.1,408.6,443.5,466.1,542.9,595,599.1,581.8,635.1,654.4,673.9,690.2,700.6,704.1,720.6,731.6,753.6,757.5
SAGD Oil Sands,Sables bitumineux DGMV,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.7,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1
