Air Pollutant (English) / Polluant atmosphérique (anglais),Air Pollutant (French) / Polluant atmosphérique (français),Economic Sector (English) / Secteur économique (anglais),Economic Sector (French) / Secteur économique (français),Units (English) / Unité (anglais),Units (French) / Unité (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Sulphur Oxides,Oxydes de soufre,Oil and Gas,Pétrole et gaz,Kilotonnes,Kilotonnes,462,425,399,376,374,342,323,324,312,279,261,252,260,269,264,263,267,276,281,284,285,287,288,287,286,286
Sulphur Oxides,Oxydes de soufre,Electricity,Électricité,Kilotonnes,Kilotonnes,522,459,492,428,383,334,293,284,278,269,251,253,245,220,205,129,114,70,55,44,44,42,37,34,33,2
Sulphur Oxides,Oxydes de soufre,Transportation,Transports,Kilotonnes,Kilotonnes,149,137,129,123,116,112,108,103,97,92,16,17,20,20,17,13,14,15,15,16,17,17,17,17,18,18
Sulphur Oxides,Oxydes de soufre,Heavy Industry,Industrie lourde,Kilotonnes,Kilotonnes,943,897,843,765,559,536,500,516,530,532,522,516,422,295,205,181,190,206,203,207,215,215,220,228,229,234
Sulphur Oxides,Oxydes de soufre,Buildings,Bâtiments,Kilotonnes,Kilotonnes,54,29,32,22,18,16,18,17,12,12,8,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4
Sulphur Oxides,Oxydes de soufre,Agriculture,Agriculture,Kilotonnes,Kilotonnes,5,3,6,6,7,8,9,8,9,10,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5
Sulphur Oxides,Oxydes de soufre,Waste and Others,Déchets et autres sources,Kilotonnes,Kilotonnes,37,20,19,17,17,16,16,10,10,10,8,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6
Sulphur Oxides,Oxydes de soufre,Total,Total,Kilotonnes,Kilotonnes,2171,1971,1919,1736,1474,1364,1267,1261,1249,1203,1074,1059,968,822,710,604,600,583,571,567,577,577,578,582,582,556
Nitrogen Oxides,Oxydes d’azote,Oil and Gas,Pétrole et gaz,Kilotonnes,Kilotonnes,443,441,467,479,477,472,477,475,479,489,489,480,491,499,494,447,433,419,404,390,304,297,290,282,276,271
Nitrogen Oxides,Oxydes d’azote,Electricity,Électricité,Kilotonnes,Kilotonnes,246,220,235,221,275,229,194,160,155,161,145,146,138,121,118,95,84,75,79,80,54,57,54,52,50,39
Nitrogen Oxides,Oxydes d’azote,Transportation,Transports,Kilotonnes,Kilotonnes,1197,1143,1123,1078,997,982,962,928,896,845,802,792,820,854,860,727,745,768,782,795,798,797,797,798,799,799
Nitrogen Oxides,Oxydes d’azote,Heavy Industry,Industrie lourde,Kilotonnes,Kilotonnes,223,191,186,172,149,160,163,164,164,162,166,153,162,160,155,141,147,153,156,157,159,161,162,163,164,164
Nitrogen Oxides,Oxydes d’azote,Buildings,Bâtiments,Kilotonnes,Kilotonnes,86,76,79,77,75,70,75,73,74,74,72,70,75,77,78,71,70,68,67,66,64,63,62,61,60,60
Nitrogen Oxides,Oxydes d’azote,Agriculture,Agriculture,Kilotonnes,Kilotonnes,129,118,120,114,109,114,103,93,89,83,77,64,67,72,72,65,62,61,59,58,57,55,53,51,49,45
Nitrogen Oxides,Oxydes d’azote,Waste and Others,Déchets et autres sources,Kilotonnes,Kilotonnes,147,130,117,109,99,106,99,84,77,72,71,60,67,68,67,61,60,62,62,61,60,59,58,57,56,55
Nitrogen Oxides,Oxydes d’azote,Total,Total,Kilotonnes,Kilotonnes,2471,2320,2325,2250,2180,2133,2072,1976,1934,1888,1822,1765,1819,1851,1843,1607,1602,1606,1609,1607,1496,1489,1476,1464,1454,1433
Volatile Organic Compounds,Composés organiques volatils,Oil and Gas,Pétrole et gaz,Kilotonnes,Kilotonnes,712,711,703,715,671,658,645,702,757,787,745,684,690,705,703,596,601,589,540,545,509,512,514,519,523,518
Volatile Organic Compounds,Composés organiques volatils,Electricity,Électricité,Kilotonnes,Kilotonnes,3,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Volatile Organic Compounds,Composés organiques volatils,Transportation,Transports,Kilotonnes,Kilotonnes,598,566,556,542,493,476,362,331,311,293,281,263,270,275,273,219,223,227,230,232,231,229,228,227,227,226
Volatile Organic Compounds,Composés organiques volatils,Heavy Industry,Industrie lourde,Kilotonnes,Kilotonnes,195,160,153,142,120,127,126,129,129,126,108,105,105,114,110,94,97,102,105,108,111,113,114,115,117,118
Volatile Organic Compounds,Composés organiques volatils,Buildings,Bâtiments,Kilotonnes,Kilotonnes,321,312,333,328,320,301,302,288,300,304,292,279,279,284,281,261,260,258,257,255,254,253,252,251,250,250
Volatile Organic Compounds,Composés organiques volatils,Agriculture,Agriculture,Kilotonnes,Kilotonnes,158,154,153,151,148,147,144,144,147,145,143,143,144,145,144,143,142,143,143,143,143,143,144,144,144,144
Volatile Organic Compounds,Composés organiques volatils,Waste and Others,Déchets et autres sources,Kilotonnes,Kilotonnes,322,294,275,253,225,229,223,218,206,209,191,178,171,172,171,150,155,164,168,169,171,173,176,179,182,184
Volatile Organic Compounds,Composés organiques volatils,Total,Total,Kilotonnes,Kilotonnes,2309,2199,2176,2133,1978,1939,1804,1812,1852,1864,1762,1653,1660,1696,1683,1464,1479,1485,1444,1454,1421,1424,1429,1437,1444,1441
Total Particulate Matter,Matière particulaire totale,Oil and Gas,Pétrole et gaz,Kilotonnes,Kilotonnes,22,18,19,19,17,16,16,16,18,22,20,20,26,24,28,27,28,29,29,29,29,29,29,29,28,28
Total Particulate Matter,Matière particulaire totale,Electricity,Électricité,Kilotonnes,Kilotonnes,34,28,28,23,34,21,17,15,15,18,18,16,16,15,14,6,5,4,3,2,2,2,2,1,1,1
Total Particulate Matter,Matière particulaire totale,Transportation,Transports,Kilotonnes,Kilotonnes,67,64,63,61,57,57,53,50,48,45,37,36,37,39,39,35,36,38,40,42,44,47,49,52,56,59
Total Particulate Matter,Matière particulaire totale,Heavy Industry,Industrie lourde,Kilotonnes,Kilotonnes,158,134,121,118,97,105,99,105,106,102,100,102,98,97,99,96,100,106,109,112,115,117,119,120,122,123
Total Particulate Matter,Matière particulaire totale,Buildings,Bâtiments,Kilotonnes,Kilotonnes,163,161,175,176,179,167,173,170,174,182,176,169,172,175,175,165,164,162,161,159,158,157,156,156,155,155
Total Particulate Matter,Matière particulaire totale,Agriculture,Agriculture,Kilotonnes,Kilotonnes,4540,4340,4203,4067,3934,3805,3669,3699,3727,3755,3784,3810,3838,3863,3889,3888,3871,3886,3892,3893,3896,3903,3911,3915,3917,3920
Total Particulate Matter,Matière particulaire totale,Waste and Others,Déchets et autres sources,Kilotonnes,Kilotonnes,14428,15469,17440,18868,17407,19180,20490,23052,23772,22533,23336,23382,23878,24626,24674,22886,24235,25253,25831,26321,26742,27090,27509,27984,28449,28897
Total Particulate Matter,Matière particulaire totale,Total,Total,Kilotonnes,Kilotonnes,19412,20215,22050,23332,21725,23352,24515,27107,27859,26656,27470,27534,28064,28839,28917,27102,28441,29477,30064,30560,30987,31345,31775,32257,32729,33184
Particulate Matter 10,Matière particulaire 10,Oil and Gas,Pétrole et gaz,Kilotonnes,Kilotonnes,17,15,15,14,13,13,12,13,14,17,15,15,18,17,19,18,18,19,19,19,19,19,19,19,19,19
Particulate Matter 10,Matière particulaire 10,Electricity,Électricité,Kilotonnes,Kilotonnes,15,12,13,12,18,9,8,6,6,7,7,7,7,6,6,3,3,2,2,1,1,1,1,1,1,1
Particulate Matter 10,Matière particulaire 10,Transportation,Transports,Kilotonnes,Kilotonnes,66,64,62,60,56,56,52,49,47,44,37,36,37,38,38,34,36,38,39,41,43,45,48,50,53,57
Particulate Matter 10,Matière particulaire 10,Heavy Industry,Industrie lourde,Kilotonnes,Kilotonnes,86,77,74,71,59,61,59,61,62,60,59,58,57,56,54,51,53,57,58,60,61,62,63,64,65,65
Particulate Matter 10,Matière particulaire 10,Buildings,Bâtiments,Kilotonnes,Kilotonnes,124,120,133,134,135,123,127,123,129,130,125,118,119,122,122,113,112,109,107,105,103,101,99,97,96,94
Particulate Matter 10,Matière particulaire 10,Agriculture,Agriculture,Kilotonnes,Kilotonnes,1744,1681,1639,1596,1555,1516,1473,1493,1513,1533,1553,1573,1594,1614,1635,1634,1627,1633,1635,1636,1637,1640,1643,1644,1645,1646
Particulate Matter 10,Matière particulaire 10,Waste and Others,Déchets et autres sources,Kilotonnes,Kilotonnes,4142,4422,4973,5361,4927,5435,5800,6444,6543,6483,6682,6703,6823,6993,7011,6497,6885,7174,7335,7472,7587,7681,7796,7929,8059,8183
Particulate Matter 10,Matière particulaire 10,Total,Total,Kilotonnes,Kilotonnes,6195,6390,6909,7248,6763,7213,7531,8189,8314,8275,8477,8510,8654,8848,8884,8350,8734,9031,9196,9334,9452,9550,9669,9805,9938,10065
Particulate Matter 2.5,"Matière particulaire 2,5",Oil and Gas,Pétrole et gaz,Kilotonnes,Kilotonnes,13,11,11,10,10,10,10,10,11,13,12,11,13,12,13,12,13,13,13,13,13,13,13,13,13,13
Particulate Matter 2.5,"Matière particulaire 2,5",Electricity,Électricité,Kilotonnes,Kilotonnes,8,6,7,6,13,5,4,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
Particulate Matter 2.5,"Matière particulaire 2,5",Transportation,Transports,Kilotonnes,Kilotonnes,54,51,50,48,44,44,40,37,35,32,25,24,25,26,26,23,24,24,25,25,25,25,26,26,26,27
Particulate Matter 2.5,"Matière particulaire 2,5",Heavy Industry,Industrie lourde,Kilotonnes,Kilotonnes,56,49,46,43,36,37,36,37,37,36,35,33,33,33,31,28,29,32,32,33,34,34,35,35,36,36
Particulate Matter 2.5,"Matière particulaire 2,5",Buildings,Bâtiments,Kilotonnes,Kilotonnes,113,108,122,122,122,110,114,109,116,115,110,103,103,105,105,95,95,92,89,86,84,82,80,78,76,74
Particulate Matter 2.5,"Matière particulaire 2,5",Agriculture,Agriculture,Kilotonnes,Kilotonnes,462,441,427,413,400,387,371,373,375,378,380,382,385,388,390,390,388,389,389,389,389,390,391,391,391,391
Particulate Matter 2.5,"Matière particulaire 2,5",Waste and Others,Déchets et autres sources,Kilotonnes,Kilotonnes,549,595,684,764,669,763,822,933,940,940,959,958,968,984,987,908,968,1010,1030,1047,1060,1068,1081,1097,1113,1128
Particulate Matter 2.5,"Matière particulaire 2,5",Total,Total,Kilotonnes,Kilotonnes,1255,1262,1347,1407,1295,1356,1397,1503,1516,1517,1523,1515,1529,1550,1553,1457,1517,1560,1580,1595,1606,1613,1625,1641,1656,1670
Black Carbon,Carbone noir,Oil and Gas,Pétrole et gaz,Kilotonnes,Kilotonnes,-,-,-,-,-,-,-,-,2.6,2.8,2.6,2.3,2.4,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2
Black Carbon,Carbone noir,Electricity,Électricité,Kilotonnes,Kilotonnes,-,-,-,-,-,-,-,-,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
Black Carbon,Carbone noir,Transportation,Transports,Kilotonnes,Kilotonnes,-,-,-,-,-,-,-,-,16.7,16.4,12.4,11.9,12.5,13,13.2,11.9,12,12.2,12.3,12.4,12.4,12.4,12.3,12.3,12.3,12.2
Black Carbon,Carbone noir,Heavy Industry,Industrie lourde,Kilotonnes,Kilotonnes,-,-,-,-,-,-,-,-,2.8,2.7,2.6,2,2.1,2,2,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5
Black Carbon,Carbone noir,Buildings,Bâtiments,Kilotonnes,Kilotonnes,-,-,-,-,-,-,-,-,9.1,9.1,8.7,8.3,8.4,8.7,8.7,7.9,7.8,7.5,7.3,7.1,6.9,6.6,6.5,6.3,6.1,6
Black Carbon,Carbone noir,Agriculture,Agriculture,Kilotonnes,Kilotonnes,-,-,-,-,-,-,-,-,4.9,4.5,4.2,3.3,3.5,3.7,3.7,3.4,3.2,3,2.9,2.7,2.5,2.4,2.3,2.2,2.1,2
Black Carbon,Carbone noir,Waste and Others,Déchets et autres sources,Kilotonnes,Kilotonnes,-,-,-,-,-,-,-,-,4.1,3.4,3.5,2.6,3,3.2,3.2,2.8,2.8,2.7,2.6,2.5,2.3,2.2,2.1,2.1,2,1.9
Black Carbon,Carbone noir,Total,Total,Kilotonnes,Kilotonnes,-,-,-,-,-,-,-,-,40.3,39.2,34.2,30.6,32,33.4,33.6,30.3,30.1,29.9,29.4,28.9,28.2,27.7,27.3,26.9,26.5,26
Carbon Monoxide,Monoxyde de carbone,Oil and Gas,Pétrole et gaz,Kilotonnes,Kilotonnes,502,511,533,555,536,535,543,545,567,565,571,549,564,579,551,571,551,535,517,502,493,481,469,457,447,437
Carbon Monoxide,Monoxyde de carbone,Electricity,Électricité,Kilotonnes,Kilotonnes,47,30,37,32,31,37,32,26,27,30,32,32,36,31,26,28,30,37,39,44,30,33,32,31,30,30
Carbon Monoxide,Monoxyde de carbone,Transportation,Transports,Kilotonnes,Kilotonnes,4945,4649,4521,4290,4018,3876,3438,3211,3152,3012,2942,2901,2962,3008,3025,2683,2756,2857,2916,2978,2985,2992,3004,3019,3035,3050
