"Greenhouse Gas (English) / Gaz à effet de serre (anglais)","Greenhouse gas (French) / Gaz à effet de serre (français)","Economic Sector (English) / Secteur économique (anglais)","Economic Sector (French) / Secteur économique (français)","Units (English) / Unité (anglais)","Units (French) / Unité (français)","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Carbon Dioxide","Dioxyde de carbone","Oil and Gas","Pétrole et gaz","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","112.5","117.6","123.8","120.7","121.6","123.6","129","133.3","138.6","142.3","144.2","138.8","141.1","149.9","151.3","144.7","151.4","153.1","154.6","155.9","159.4","160.5","161","160.9","161.6","161.7"
"Carbon Dioxide","Dioxyde de carbone","Electricity","Électricité","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","116.6","110.7","116.7","107.9","92.9","94.1","86.2","82.5","79.1","75.2","78.3","72.8","71.2","61.2","60.3","51.8","47.2","42.5","37.1","35.7","34.7","37.9","35.9","32.6","31.7","27.3"
"Carbon Dioxide","Dioxyde de carbone","Transportation","Transports","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","151.5","152.8","156.2","156.5","153.5","159.4","160.6","163","166.7","164.6","165.5","167","172","177.3","178.8","159.5","162.4","167.4","170","172.8","171.4","170","168.6","167.5","166.5","164.7"
"Carbon Dioxide","Dioxyde de carbone","Heavy Industry","Industrie lourde","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","77.9","79.9","80","77.9","67.1","71","77.2","76.7","75","76.4","74.9","73.7","73","75.1","75.1","67.7","69.6","73.6","74.6","75.5","75","74.7","74.3","74","73.7","73.5"
"Carbon Dioxide","Dioxyde de carbone","Buildings","Bâtiments","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","79.1","74","79.3","78.8","76.8","73.4","77.9","75.8","75.7","75.3","73.4","71.5","75.2","77.8","78.9","73.7","72.9","71.3","69.9","68.7","67.6","66.6","66","65.4","64.8","64.4"
"Carbon Dioxide","Dioxyde de carbone","Agriculture","Agriculture","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","13.6","13","14","13.7","13.5","14.5","15.5","15.4","15.8","15.7","15.4","14.9","15.2","16.2","16.1","15.9","15.8","15.9","15.9","15.8","15.8","15.9","15.9","15.9","15.9","15.9"
"Carbon Dioxide","Dioxyde de carbone","Waste and Others","Déchets et autres sources","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","24.6","23.3","24.6","23.7","21.1","22.8","23.4","22.6","22.7","21.2","21.3","20.8","21.6","22","21.7","21.1","21.6","22.6","22.7","22.6","22.5","22.3","22.4","22.4","22.4","22.5"
"Carbon Dioxide","Dioxyde de carbone","Total","Total","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","575.9","571.4","594.7","579.4","546.6","558.8","569.9","569.3","573.7","570.6","573.1","559.6","569.4","579.5","582.4","534.4","540.9","546.4","544.8","547","546.5","547.9","543.9","538.6","536.5","529.9"
"Methane","Méthane","Oil and Gas","Pétrole et gaz","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","46.7","47","46.5","45.9","42.5","41.7","42.1","44.3","45","47.2","44.9","41.1","40.7","40.4","39.1","33.8","33.1","32.2","28.3","27.9","25.9","25.7","25.5","25.2","25","24.7"
"Methane","Méthane","Electricity","Électricité","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
