X1,X2,X3,X4,X5
,,End of Useful,,
,,,2019 LTO,
,Year of,Life under,,2019 LTO Coal to
Asset**,,,Coal to Gas,
,Commissioning,Federal Coal,,Gas Retirements
,,,Commencement,
,,Regulations,,
Battle River #3 (BR3),1969,"Dec. 31, 2019*",—,—
H.R. Milner (HRM),1972,"Dec. 31, 2019*",—,—
Battle River #4 (BR4),1975,"Dec. 31, 2025*",—,—
Sundance #3 (SD3),1976,"Dec. 31, 2026","Apr. 1, 2022","Dec. 31, 2030"
Sundance #4 (SD4),1977,"Dec. 31, 2027","Apr. 1, 2021","Dec. 31, 2031"
Sundance #5 (SD5),1978,"Dec. 31, 2028","Apr. 1, 2022","Dec. 31, 2030"
Sundance #6 (SD6),1980,"Dec. 31, 2029","Apr. 1, 2021","Dec. 31, 2031"
Battle River #5 (BR5),1981,"Dec. 31, 2029","Apr. 1, 2021","Dec. 31, 2029"
Keephills #1 (KH1),1983,"Dec. 31, 2029","Apr. 1, 2023","Dec. 31, 2032"
Keephills #2 (KH2),1984,"Dec. 31, 2029","Apr. 1, 2023","Dec. 31, 2032"
Sheerness #1 (SH1),1986,"Dec. 31, 2029","Apr. 1, 2023","Dec. 31, 2033"
Genesee #2 (GN2),1989,"Dec. 31, 2029","Apr. 1, 2028","Dec. 31, 2034"
Sheerness #2 (SH2),1990,"Dec. 31, 2029","Apr. 1, 2023","Dec. 31, 2033"
Genesee #1 (GN1),1994,"Dec. 31, 2029","Apr. 1, 2028","Dec. 31, 2034"
Genesee #3 (GN3),2005,"Dec. 31, 2029","Apr. 1, 2029","Dec. 31, 2037"
Keephills #3 (KH3),2011,"Dec. 31, 2029","Apr. 1, 2024","Dec. 31, 2037"
