Year,Region,Index,Source,Sector,Sub-sector,Sub-sub-sector,Total,CO2eq,Unit
1990,Canada,0,National Inventory Total,,,,y,588.6028116,Mt
1990,Canada,1,Oil and Gas,,,,y,100.4586192,Mt
1990,Canada,2,Oil and Gas,Upstream Oil and Gas,,,y,80.56974571,Mt
1990,Canada,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,32.28388557,Mt
1990,Canada,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,21.04013617,Mt
1990,Canada,5,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Light Oil Production,,12.62694028,Mt
1990,Canada,6,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Heavy Oil Production,,8.15407484,Mt
1990,Canada,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,0.259121058,Mt
1990,Canada,8,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-Situ, Upgrading)",,y,15.13011208,Mt
1990,Canada,9,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-Situ, Upgrading)",Mining and Extraction,,2.228305395,Mt
1990,Canada,11,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-Situ, Upgrading)",Upgrading,,8.375007189,Mt
1990,Canada,10,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-Situ, Upgrading)",In-Situ,,4.526799496,Mt
1990,Canada,44,Coal Production,,,,,4.283807636,Mt
1990,Canada,12,Oil and Gas,Upstream Oil and Gas,"Oil, Natural Gas and CO2  Transmission",,,12.11561189,Mt
1990,Canada,13,Oil and Gas,Downstream Oil and Gas,,,y,19.88887347,Mt
1990,Canada,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,,18.28527111,Mt
1990,Canada,15,Oil and Gas,Downstream Oil and Gas,Natural Gas Distribution,,,1.603602362,Mt
1990,Canada,16,Electricity,,,,,94.73460574,Mt
1990,Canada,17,Transport,,,,y,118.3920982,Mt
1990,Canada,18,Transport,Passenger Transport,,,y,79.67153263,Mt
1990,Canada,19,Transport,Passenger Transport,"Cars, Light Trucks and Motorcycles",,,71.2504029,Mt
1990,Canada,20,Transport,Passenger Transport,"Bus, Rail and Aviation",,,8.421129731,Mt
1990,Canada,21,Transport,Freight Transport,,,y,30.57635691,Mt
1990,Canada,22,Transport,Freight Transport,"Heavy Duty Trucks, Rail",,,25.91172308,Mt
1990,Canada,23,Transport,Freight Transport,Aviation and Marine,,,4.66463383,Mt
1990,Canada,24,Transport,"Other: Recreational, Commercial and Residential",,,,8.1442087,Mt
1990,Canada,25,Heavy Industry,,,,y,98.84625225,Mt
1990,Canada,26,Heavy Industry,Mining,,,,7.170918603,Mt
1990,Canada,27,Heavy Industry,Smelting and Refining (Non-Ferrous Metals),,,,17.68955945,Mt
1990,Canada,28,Heavy Industry,Pulp and Paper,,,,15.16079731,Mt
1990,Canada,29,Heavy Industry,Iron and Steel,,,,16.68518443,Mt
1990,Canada,30,Heavy Industry,Cement,,,,10.18773923,Mt
1990,Canada,31,Heavy Industry,Lime and Gypsum,,,,2.841219013,Mt
1990,Canada,32,Heavy Industry,Chemicals and Fertilizers,,,,29.11083422,Mt
1990,Canada,45,"Light Manufacturing, Construction and Forest Resources",,,,y,31.49767706,Mt
1990,Canada,46,"Light Manufacturing, Construction and Forest Resources",Light Manufacturing,,,,21.48077529,Mt
1990,Canada,47,"Light Manufacturing, Construction and Forest Resources",Construction,,,,6.961592536,Mt
1990,Canada,48,"Light Manufacturing, Construction and Forest Resources",Forest Resources,,,,3.055309228,Mt
1990,Canada,33,Buildings,,,,y,72.09786394,Mt
1990,Canada,34,Buildings,Service Industry,,,,27.55339971,Mt
1990,Canada,35,Buildings,Residential,,,,44.54446424,Mt
1990,Canada,40,Waste,,,,y,18.9325931,Mt
1990,Canada,41,Waste,Solid Waste,,,,17.10068851,Mt
1990,Canada,42,Waste,Wastewater,,,,1.567018123,Mt
1990,Canada,43,Waste,Waste Incineration,,,,0.26488647,Mt
1990,Canada,36,Agriculture,,,,y,49.35929446,Mt
1990,Canada,37,Agriculture,On Farm Fuel Use,,,,8.219422892,Mt
1990,Canada,38,Agriculture,Crop Production,,,,10.38145015,Mt
1990,Canada,39,Agriculture,Animal Production,,,,30.75842142,Mt
1990,Newfoundland and Labrador,0,Provincial Inventory Total,,,,y,9.411243542,Mt
1990,Newfoundland and Labrador,1,Oil and Gas,,,,y,1.074097315,Mt
1990,Newfoundland and Labrador,2,Oil and Gas,Upstream Oil and Gas,,,y,1.37237E-06,Mt
1990,Newfoundland and Labrador,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.37237E-06,Mt
1990,Newfoundland and Labrador,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.37237E-06,Mt
1990,Newfoundland and Labrador,13,Oil and Gas,Downstream Oil and Gas,,,y,1.074095943,Mt
1990,Newfoundland and Labrador,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,,1.074095943,Mt
1990,Newfoundland and Labrador,16,Electricity,,,,,1.642123454,Mt
1990,Newfoundland and Labrador,17,Transport,,,,y,2.701932488,Mt
1990,Newfoundland and Labrador,18,Transport,Passenger Transport,,,y,1.405113393,Mt
