Year,Region,Index,Source,Sector,Sub-sector,Sub-sub-sector,Total,CO2eq,Unit
1990,Northwest Territories and Nunavut,35,Buildings,Residential,,,,155.6784135,kt
1990,Northwest Territories and Nunavut,36,Agriculture,,,,y,2.115062503,kt
1990,Northwest Territories and Nunavut,37,Agriculture,On Farm Fuel Use,,,,2.115062503,kt
1990,Northwest Territories and Nunavut,40,Waste,,,,y,38.29900869,kt
1990,Northwest Territories and Nunavut,41,Waste,Solid Waste,,,,33.89287628,kt
1990,Northwest Territories and Nunavut,42,Waste,Wastewater,,,,4.230571112,kt
1990,Northwest Territories and Nunavut,43,Waste,Waste Incineration,,,,0.175561296,kt
1990,Northwest Territories and Nunavut,45,"Light Manufacturing, Construction and Forest Resources",,,,y,73.40943141,kt
1990,Northwest Territories and Nunavut,46,"Light Manufacturing, Construction and Forest Resources",Light Manufacturing,,,,28.73479708,kt
1990,Northwest Territories and Nunavut,47,"Light Manufacturing, Construction and Forest Resources",Construction,,,,42.30558239,kt
1990,Northwest Territories and Nunavut,48,"Light Manufacturing, Construction and Forest Resources",Forest Resources,,,,2.369051931,kt
1991,Northwest Territories and Nunavut,0,Territorial Inventory Total,,,,y,1760.849977,kt
1991,Northwest Territories and Nunavut,1,Oil and Gas,,,,y,313.0554054,kt
1991,Northwest Territories and Nunavut,2,Oil and Gas,Upstream Oil and Gas,,,y,306.3305348,kt
1991,Northwest Territories and Nunavut,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,87.90761168,kt
1991,Northwest Territories and Nunavut,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,218.4227529,kt
1991,Northwest Territories and Nunavut,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,218.4227529,kt
1991,Northwest Territories and Nunavut,12,Oil and Gas,Upstream Oil and Gas,"Oil, Natural Gas and CO2  Transmission",,,0.000170221,kt
1991,Northwest Territories and Nunavut,13,Oil and Gas,Downstream Oil and Gas,,,y,6.724870576,kt
