Year,Region,Index,Source,Sector,Sub-sector,Sub-sub-sector,Total,CO2,CH4,N2O,HFCs,PFCs,SF6,NF3,CO2eq,Unit
1990,Alberta,0,Provincial Inventory Total,,,, y,126212.0252,1630.547337,17.93466136,0,0,7.95839E-05,0,176621.9061,kt
1991,Alberta,0,Provincial Inventory Total,,,, y,126251.5909,1656.087967,18.21267264,0,0,8.04076E-05,0,177450.3018,kt
1992,Alberta,0,Provincial Inventory Total,,,, y,131200.859,1750.177923,18.57920856,0,0,8.01069E-05,0,185131.2137,kt
1993,Alberta,0,Provincial Inventory Total,,,, y,135080.3775,1812.137326,20.10383297,0,0,8.04516E-05,0,191149.629,kt
1994,Alberta,0,Provincial Inventory Total,,,, y,142425.0562,1895.085315,20.24655184,0,0,8.11044E-05,0,200854.6872,kt
1995,Alberta,0,Provincial Inventory Total,,,, y,144969.6697,1992.278946,21.06110408,54.54541453,1.503432941,8.10485E-05,0,206392.6262,kt
1996,Alberta,0,Provincial Inventory Total,,,, y,148975.7233,2089.478338,21.83521168,98.9142615,1.275964559,5.84784E-05,0,213369.0123,kt
1997,Alberta,0,Provincial Inventory Total,,,, y,153797.1106,2094.919468,21.79063502,143.3430812,1.428386816,6.87694E-05,0,218375.7616,kt
1998,Alberta,0,Provincial Inventory Total,,,, y,153092.7881,2155.901524,22.46488651,210.4175616,1.383471572,7.94244E-05,0,219624.8932,kt
1999,Alberta,0,Provincial Inventory Total,,,, y,159513.3375,2130.392775,23.60032123,277.3533908,1.303497795,7.29805E-05,0,225698.7923,kt
2000,Alberta,0,Provincial Inventory Total,,,, y,166942.9314,2214.869579,24.24153141,353.9949285,1.898603325,7.68529E-05,0,235740.9851,kt
2001,Alberta,0,Provincial Inventory Total,,,, y,166589.6298,2240.841978,23.67579543,412.2764653,2.242954317,0.000101146,0,236024.1874,kt
2002,Alberta,0,Provincial Inventory Total,,,, y,168703.7798,2236.211109,22.96956615,463.3435508,1.684248313,5.83214E-05,0,237871.0242,kt
2003,Alberta,0,Provincial Inventory Total,,,, y,176935.6795,2218.621215,24.3648379,516.4983394,0.50231727,8.29237E-05,0,246032.705,kt
2004,Alberta,0,Provincial Inventory Total,,,, y,173586.0684,2293.880471,24.04984352,580.1996758,0.518432747,6.0579E-05,0,244770.0718,kt
2005,Alberta,0,Provincial Inventory Total,,,, y,176766.8035,2378.669087,24.55347776,640.1882772,0.55655252,2.53497E-05,0,250517.55,kt
2006,Alberta,0,Provincial Inventory Total,,,, y,183177.3467,2473.612399,23.94540021,700.6878895,0.564266823,4.14586E-05,0,259486.2513,kt
2007,Alberta,0,Provincial Inventory Total,,,, y,192445.6428,2432.067063,24.31469657,810.4698685,0.623482496,3.08751E-05,0,267798.7341,kt
2008,Alberta,0,Provincial Inventory Total,,,, y,190998.3735,2435.008318,24.0618331,846.8885437,0.720964521,0.000109925,0,266405.185,kt
2009,Alberta,0,Provincial Inventory Total,,,, y,187604.1298,2330.1375,21.52380933,931.6040651,0.652882571,9.39191E-05,0,259486.2534,kt
